cbsatitle,gdp,year
"Abilene, TX (Metropolitan Statistical Area)",7436.2,2014
"Akron, OH (Metropolitan Statistical Area)",33445,2014
"Albany, GA (Metropolitan Statistical Area)",5179.5,2014
"Albany, OR (Metropolitan Statistical Area)",3632.3,2014
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",48563.3,2014
"Albuquerque, NM (Metropolitan Statistical Area)",39814.9,2014
"Alexandria, LA (Metropolitan Statistical Area)",5594.4,2014
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",39109.4,2014
"Altoona, PA (Metropolitan Statistical Area)",5093.6,2014
"Amarillo, TX (Metropolitan Statistical Area)",12904.3,2014
"Ames, IA (Metropolitan Statistical Area)",4599.2,2014
"Anchorage, AK (Metropolitan Statistical Area)",30204.5,2014
"Ann Arbor, MI (Metropolitan Statistical Area)",20177.2,2014
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3730.2,2014
"Appleton, WI (Metropolitan Statistical Area)",11374.1,2014
"Asheville, NC (Metropolitan Statistical Area)",16229.9,2014
"Athens-Clarke County, GA (Metropolitan Statistical Area)",7684.1,2014
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",326501.7,2014
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",12769.7,2014
"Auburn-Opelika, AL (Metropolitan Statistical Area)",4602.5,2014
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",22122.4,2014
"Austin-Round Rock, TX (Metropolitan Statistical Area)",119571.7,2014
"Bakersfield, CA (Metropolitan Statistical Area)",39532.8,2014
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",173073.2,2014
"Bangor, ME (Metropolitan Statistical Area)",5562.2,2014
"Barnstable Town, MA (Metropolitan Statistical Area)",10192.3,2014
"Baton Rouge, LA (Metropolitan Statistical Area)",51027.1,2014
"Battle Creek, MI (Metropolitan Statistical Area)",5624.3,2014
"Bay City, MI (Metropolitan Statistical Area)",3093.8,2014
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",24502.6,2014
"Beckley, WV (Metropolitan Statistical Area)",4224.3,2014
"Bellingham, WA (Metropolitan Statistical Area)",9619.3,2014
