cbsatitle,gdp,year
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",19031,2013
"Dayton, OH (Metropolitan Statistical Area)",36999.3,2013
"Decatur, AL (Metropolitan Statistical Area)",5365.5,2013
"Decatur, IL (Metropolitan Statistical Area)",5821.9,2013
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",15144.7,2013
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",173016.1,2013
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",42304.1,2013
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",220276.9,2013
"Dothan, AL (Metropolitan Statistical Area)",4819.2,2013
"Dover, DE (Metropolitan Statistical Area)",6314,2013
"Dubuque, IA (Metropolitan Statistical Area)",4979.4,2013
"Duluth, MN-WI (Metropolitan Statistical Area)",12465.4,2013
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",41803.1,2013
"East Stroudsburg, PA (Metropolitan Statistical Area)",5581.2,2013
"Eau Claire, WI (Metropolitan Statistical Area)",7194.1,2013
"El Centro, CA (Metropolitan Statistical Area)",5769.7,2013
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5951.3,2013
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",11784,2013
"Elmira, NY (Metropolitan Statistical Area)",3357,2013
"El Paso, TX (Metropolitan Statistical Area)",26582.2,2013
"Enid, OK (Metropolitan Statistical Area)",3255.6,2013
"Erie, PA (Metropolitan Statistical Area)",10861.7,2013
"Eugene, OR (Metropolitan Statistical Area)",13289,2013
"Evansville, IN-KY (Metropolitan Statistical Area)",17080.7,2013
"Fairbanks, AK (Metropolitan Statistical Area)",5178.5,2013
"Fargo, ND-MN (Metropolitan Statistical Area)",13282.5,2013
"Farmington, NM (Metropolitan Statistical Area)",7076.6,2013
"Fayetteville, NC (Metropolitan Statistical Area)",17094.3,2013
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",22414.6,2013
"Flagstaff, AZ (Metropolitan Statistical Area)",5200.9,2013
"Flint, MI (Metropolitan Statistical Area)",12369.3,2013
"Florence, SC (Metropolitan Statistical Area)",7709.4,2013
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4501.5,2013
"Fond du Lac, WI (Metropolitan Statistical Area)",4243,2013
"Fort Collins, CO (Metropolitan Statistical Area)",14113.6,2013
"Fort Smith, AR-OK (Metropolitan Statistical Area)",10097,2013
"Fort Wayne, IN (Metropolitan Statistical Area)",18795,2013
"Fresno, CA (Metropolitan Statistical Area)",36140.5,2013
