cbsatitle,2013,2014,2015
"Springfield, MA (Metropolitan Statistical Area)",24688.8,25221.9,26616.4
"Springfield, MO (Metropolitan Statistical Area)",16529.4,17112.6,18212.9
"Springfield, OH (Metropolitan Statistical Area)",4094.6,4198.7,4269.6
"State College, PA (Metropolitan Statistical Area)",7836.5,8327.3,8465.3
"Staunton-Waynesboro, VA (Metropolitan Statistical Area)",4558.4,4708.1,4931.5
"Stockton-Lodi, CA (Metropolitan Statistical Area)",22691.8,23268.2,24959.6
"Sumter, SC (Metropolitan Statistical Area)",3521.8,3603.7,3669.3
"Syracuse, NY (Metropolitan Statistical Area)",30428.3,31209.8,32270.6
"Tallahassee, FL (Metropolitan Statistical Area)",14145.5,14434.3,14829.8
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",125706.3,127963.4,135569.4
"Terre Haute, IN (Metropolitan Statistical Area)",6418.2,6327.2,6214.6
"Texarkana, TX-AR (Metropolitan Statistical Area)",4876.6,4936.5,5167.5
"The Villages, FL (Metropolitan Statistical Area)",2146,2319.2,2428
"Toledo, OH (Metropolitan Statistical Area)",30542.3,33456.8,32669.9
"Topeka, KS (Metropolitan Statistical Area)",9818.6,10034.2,10119.2
"Trenton, NJ (Metropolitan Statistical Area)",28719.1,28990.5,29490.5
"Tucson, AZ (Metropolitan Statistical Area)",36146.6,36380.5,36480.6
"Tulsa, OK (Metropolitan Statistical Area)",62959.2,69596.2,60542.7
"Tuscaloosa, AL (Metropolitan Statistical Area)",11210.5,11070.2,11205.1
"Twin Falls, ID (Metropolitan Statistical Area)",3649.7,3838.3,3900.5
"Tyler, TX (Metropolitan Statistical Area)",15001.1,15527.2,14048.9
"Urban Honolulu, HI (Metropolitan Statistical Area)",57314.7,58955.3,62943.2
"Utica-Rome, NY (Metropolitan Statistical Area)",10309.2,10300.3,10568.1
"Valdosta, GA (Metropolitan Statistical Area)",4529.3,4646.4,4780
"Vallejo-Fairfield, CA (Metropolitan Statistical Area)",19669.5,20180.6,20009.2
"Victoria, TX (Metropolitan Statistical Area)",5416.3,5592.4,5171.4
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",5280.9,5458.8,5655.4
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",85414.4,87088,91725.2
"Visalia-Porterville, CA (Metropolitan Statistical Area)",14185.7,15238.3,14948.4
"Waco, TX (Metropolitan Statistical Area)",10294.7,10751.5,11308
"Walla Walla, WA (Metropolitan Statistical Area)",2695.4,2642.8,2751.3
"Warner Robins, GA (Metropolitan Statistical Area)",6537.5,6678.6,6840.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",459268.5,471254.3,491778.5
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",8600.8,9060,9361.4
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",6384.3,6319.9,6166.3
"Wausau, WI (Metropolitan Statistical Area)",6790.5,7155.4,7655.7
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",4000.7,4319.2,4093.9
"Wenatchee, WA (Metropolitan Statistical Area)",4161,4306.8,4586.3
"Wheeling, WV-OH (Metropolitan Statistical Area)",6911.8,7365.4,7212.5
"Wichita, KS (Metropolitan Statistical Area)",28700.2,30165.8,32080.9
"Wichita Falls, TX (Metropolitan Statistical Area)",7708,7162.5,6425.2
"Williamsport, PA (Metropolitan Statistical Area)",4942.3,5248,4955.9
"Wilmington, NC (Metropolitan Statistical Area)",11885.1,12761.6,13484.2
"Winchester, VA-WV (Metropolitan Statistical Area)",5697.2,5884.5,6294.3
"Winston-Salem, NC (Metropolitan Statistical Area)",25129,27179.1,28676.7
"Worcester, MA-CT (Metropolitan Statistical Area)",37400.2,38150.5,40311.1
"Yakima, WA (Metropolitan Statistical Area)",8736.9,9000.1,9071.6
"York-Hanover, PA (Metropolitan Statistical Area)",17024.7,17274.4,17964.1
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",18870.5,19515,19806.2
"Yuba City, CA (Metropolitan Statistical Area)",5222.9,5368.8,5544.4
"Yuma, AZ (Metropolitan Statistical Area)",6004.8,5886.8,6357.1
