cbsatitle,gdp,year
United States (Metropolitan Portion),16358497.6,2015
"Abilene, TX (Metropolitan Statistical Area)",6862.9,2015
"Akron, OH (Metropolitan Statistical Area)",35124.9,2015
"Albany, GA (Metropolitan Statistical Area)",5133.3,2015
"Albany, OR (Metropolitan Statistical Area)",3804.9,2015
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",51432.8,2015
"Albuquerque, NM (Metropolitan Statistical Area)",41538.7,2015
"Alexandria, LA (Metropolitan Statistical Area)",5758.9,2015
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",41647.4,2015
"Altoona, PA (Metropolitan Statistical Area)",5290.6,2015
"Amarillo, TX (Metropolitan Statistical Area)",12967.7,2015
"Ames, IA (Metropolitan Statistical Area)",4985.2,2015
"Anchorage, AK (Metropolitan Statistical Area)",28068.8,2015
"Ann Arbor, MI (Metropolitan Statistical Area)",21715.1,2015
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3737.6,2015
"Appleton, WI (Metropolitan Statistical Area)",12205.2,2015
"Asheville, NC (Metropolitan Statistical Area)",17742.1,2015
"Athens-Clarke County, GA (Metropolitan Statistical Area)",8433.2,2015
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",347603.9,2015
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",12543.8,2015
"Auburn-Opelika, AL (Metropolitan Statistical Area)",4864.8,2015
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",23274.4,2015
"Austin-Round Rock, TX (Metropolitan Statistical Area)",127804.4,2015
"Bakersfield, CA (Metropolitan Statistical Area)",36807.4,2015
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",178894.9,2015
"Bangor, ME (Metropolitan Statistical Area)",5752.9,2015
"Barnstable Town, MA (Metropolitan Statistical Area)",10766.3,2015
"Baton Rouge, LA (Metropolitan Statistical Area)",51979.6,2015
"Battle Creek, MI (Metropolitan Statistical Area)",5860.3,2015
"Bay City, MI (Metropolitan Statistical Area)",3188.2,2015
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",25053.1,2015
"Beckley, WV (Metropolitan Statistical Area)",4033.1,2015
"Bellingham, WA (Metropolitan Statistical Area)",10223.8,2015
"Bend-Redmond, OR (Metropolitan Statistical Area)",8421.4,2015
"Billings, MT (Metropolitan Statistical Area)",10103.9,2015
"Binghamton, NY (Metropolitan Statistical Area)",9250.1,2015
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",61259.2,2015
"Bismarck, ND (Metropolitan Statistical Area)",8135,2015
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",6991.1,2015
"Bloomington, IL (Metropolitan Statistical Area)",12052.9,2015
"Bloomington, IN (Metropolitan Statistical Area)",6651.4,2015
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3880,2015
"Boise City, ID (Metropolitan Statistical Area)",30155.1,2015
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",407675.1,2015
"Boulder, CO (Metropolitan Statistical Area)",23508.4,2015
"Bowling Green, KY (Metropolitan Statistical Area)",6758,2015
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",10364.2,2015
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",96895.7,2015
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",9896.7,2015
"Brunswick, GA (Metropolitan Statistical Area)",3805.2,2015
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",56814.5,2015
"Burlington, NC (Metropolitan Statistical Area)",4961.5,2015
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",13141.7,2015
"California-Lexington Park, MD (Metropolitan Statistical Area)",6151.9,2015
"Canton-Massillon, OH (Metropolitan Statistical Area)",16839.7,2015
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",25820.5,2015
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4186.2,2015
"Carbondale-Marion, IL (Metropolitan Statistical Area)",4966.8,2015
"Carson City, NV (Metropolitan Statistical Area)",3050.7,2015
"Casper, WY (Metropolitan Statistical Area)",6500.8,2015
"Cedar Rapids, IA (Metropolitan Statistical Area)",18139.3,2015
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",5230,2015
"Champaign-Urbana, IL (Metropolitan Statistical Area)",11677.3,2015
"Charleston, WV (Metropolitan Statistical Area)",12731.8,2015
